Country,Proportion of Undernourished in the Population (%),Prevalence of Underweight in Children Under 5 Years,Under 5 Mortality Rate,2014 GHI,Maize import quantity (tonnes),Rice import quantity (tonnes),Potato import quantity (tonnes),Wheat import quantity (tonnes),1990 GHI,1995 GHI,2000 GHI,2005 GHI,2013 GHI,2015 GHI,2016 GHI,,
Afghanistan,,25,9.9,,655,99587,251995,222974,,,,,,35.4,34.8,,
Albania,7.8,6.3,1.7,5.3,64685,21721,18113,254225,9.2,6.0,7.8,6.1,5.2,13.2,11.9,,
Algeria,2.4,3.6,2,<5,3218998,120853,136802,6304734,7.0,7.7,5.3,<5,<5,8.7,8.7,,
Angola,24.4,11.3,16.4,17.4,37502,430625,37652,11,39.5,38.5,31.6,22.7,19.1,32.6,32.8,,
Argentina,3.4,2.3,1.4,<5,2857,5656,738,151,<5,<5,<5,<5,<5,<5,<5,,
Armenia,2.6,5.3,1.6,<5,80641,9766,2102,345459,,10.2,8.2,<5,<5,11.2,8.7,,
Azerbaijan,1.1,4.1,3.5,<5,138770,17241,62535,1451257,,14.5,11.9,5.4,<5,10,9.8,,
Bahrain,,,1,,6486,88042,20058,67660,,,,,,,,,
Bangladesh,16.3,36.8,4.1,19.1,446397,260256,1340,3376956,36.7,35.1,24.0,20.2,19.4,27.3,27.1,,
Belarus,0.4,0.8,0.5,<5,84746,30217,11381,44876,,<5,<5,<5,<5,<5,<5,,
Benin,6.1,18.4,9,11.2,1059,1374002,255,23612,22.5,20.5,17.3,15.2,13.3,21.8,23.2,,
Bhutan,,12.8,4.5,,2257,7948,5284,4992,,,,,,,,,
Bolivia,21.3,4.4,4.1,9.9,2931,36244,21796,145274,18.8,16.9,14.2,13.8,11.2,16.9,15.4,,
Bosnia & Herzegovina,2.2,1.5,0.7,<5,223325,7049,23527,279442,,<5,<5,<5,<5,<5,<5,,
Botswana,25.7,9.2,5.3,13.4,190061,24737,16004,105346,16.8,17.0,17.8,16.3,13.9,23.1,23,,
Brazil,6.9,2.1,1.4,<5,911387,737363,29180,7273279,8.7,7.6,6.4,<5,<5,<5,<5,,
Bulgaria,7.2,1.8,1.2,<5,41408,27057,41680,26693,<5,<5,<5,<5,<5,8.5,8.3,,
Burkina Faso,25,24.4,10.2,19.9,1945,439080,3487,78617,26.9,22.7,26.1,26.6,22.2,31.8,31,,
Burundi,67.3,29.1,10.4,35.6,12067,18061,6794,47133,33.8,38.1,39.5,39.5,38.8,,,,
Cambodia,15.4,29,4,16.1,1026,41084,2,22657,32.2,30.7,27.8,20.9,16.8,22.6,21.7,,
Cameroon,13.3,15.1,9.5,12.6,13309,753263,76,494788,23.7,23.8,20.3,16.3,14.5,24.2,22.9,,
Central African Republic,28.2,23.5,12.9,21.5,269,7981,0,0,30.7,29.4,28.0,28.5,23.3,46.9,46.1,,
Chad,29.4,30.3,15,24.9,17791,1016,140,30000,38.8,34.9,29.8,29.7,26.9,46.4,44.3,,
Chile,3,0.5,0.9,<5,1097937,112637,8569,940368,<5,<5,<5,<5,<5,<5,<5,,
China,11.4,3.4,1.4,5.4,7340767,2718094,35169,6830683,13.0,10.4,8.4,6.7,5.5,8.6,7.7,,
Colombia,10.6,3.4,1.8,5.3,3635280,151646,24,1413789,10.4,8.0,6.8,6.9,5.9,8.8,8.5,,
Comoros,65.3,15.3,7.8,29.5,310,39681,130,0,24.0,27.5,33.3,29.8,33.6,,,,
Congo,33,35.8,24.2,18.1,103,41541,1714,104567,23.7,23.9,19.3,18.4,20.5,26.6,26.6,,
Costa Rica,8.2,1.1,1,<5,670634,84900,3737,225450,<5,<5,<5,<5,<5,<5,<5,,
Croatia,1.4,0.3,0.5,<5,23245,10627,29384,26017,,5.4,<5,<5,<5,<5,<5,,
Cuba,0.6,2.1,0.6,<5,769144,459672,6291,778471,5.5,7.4,<5,<5,<5,<5,<5,,
Djibouti,20.5,29.8,8.1,19.5,15109,92944,14514,679624,33.5,28.5,27.7,24.0,19.5,33.2,32.7,,
Dominican Republic,15.6,2.8,2.7,7,970000,65068,10500,500000,14.9,11.7,9.7,8.8,7.0,10.8,11.1,,
Ecuador,16.3,5,2.3,7.9,138276,602,0,559240,14.0,11.6,12.3,10.1,8.5,14,13.9,,
"Egypt, Arab Rep.",1.3,4.5,2.1,<5,5771770,20360,184477,10288434,7.0,6.2,5.2,<5,<5,13.5,13.7,,
El Salvador,11.9,5.1,1.6,6.2,321190,67224,68894,243829,10.9,8.7,7.4,6.4,6.8,11.1,11.2,,
Eritrea,61.3,34.8,5.2,33.8,792,434,,54041,,40.6,40.2,39.3,35.0,,,,
Estonia,3.3,0.7,0.4,<5,30152,3870,2804,28379,,<5,<5,<5,<5,<5,<5,,
Ethiopia,37.1,29.2,6.8,24.4,18424,154841,46,1618382,42.3,42.7,37.1,31.0,25.7,33.9,33.4,,
Fiji,2.7,6.3,2.2,<5,52,38923,22917,161029,5.8,5.1,<5,<5,<5,8.7,8.5,,
Gabon,5.6,6.5,6.2,6.1,447,83846,532,102705,9.7,8.0,7.8,6.9,7.2,12.5,12,,
"Gambia, The",16,17.4,7.3,13.6,0,69699,1493,12600,19.1,20.4,16.1,15.6,14.0,21.5,20.9,,
Georgia,,1.1,2,,56249,12058,10165,654420,,16.6,9.2,11.3,9.3,8.5,8.2,,
Ghana,2.9,13.4,7.2,7.8,3172,644328,2062,261255,25.5,19.6,15.6,10.7,8.2,15.5,13.9,,
Guatemala,30.5,13,3.2,15.6,689013,71561,3960,462759,15.0,16.1,17.0,17.0,15.5,21.1,20.7,,
Guinea,15.2,17.5,10.1,14.3,822,363755,426,4863,21.4,21.2,22.4,18.2,16.9,28.8,28.1,,
Guinea-Bissau,10.1,18.1,12.9,13.7,776,76193,519,,21.7,20.8,20.6,17.7,14.3,30.3,27.4,,
Guyana,5,11.1,3.5,6.5,23501,37,8416,38443,14.3,10.2,8.2,8.0,6.6,14.4,14.5,,
Haiti,49.8,11.6,7.6,23,17676,424517,2489,85000,33.8,31.7,25.7,27.0,23.3,37.3,36.9,,
Honduras,8.7,7.1,2.3,6,336064,86557,2187,236407,14.2,13.6,10.8,8.5,7.9,13.4,13.2,,
India,17,30.7,5.6,17.8,11628,1323,0,11644,32.6,27.1,24.8,24.0,21.3,29,28.5,,
Indonesia,9.1,18.6,3.1,10.3,3191045,472239,56941,6737512,19.7,16.9,15.5,14.6,10.1,22.1,21.9,,
"Iran, Islamic Rep.",4.5,4.1,1.8,<5,4005482,2180127,468,4388441,8.5,7.4,6.1,<5,<5,6.8,6.7,,
Iraq,26.2,8.5,3.4,12.7,11519,1317732,176605,2241683,,,,,,22.2,22,,
Jamaica,8.6,3.2,1.7,<5,175936,81270,3468,189514,5.9,5.0,<5,<5,<5,8.1,7.9,,
Jordan,3.1,3,1.9,<5,557942,148990,74550,680677,5.1,5.2,<5,<5,<5,5.8,5.7,,
Kazakhstan,0.4,3.7,1.9,<5,807,16819,112323,1160,,<5,5.3,<5,<5,8,7.8,,
Kenya,25.8,16.4,7.3,16.5,93473,412411,762,1043600,21.4,21.0,20.5,20.2,18.0,24,21.9,,
Kuwait,1.5,2.2,1.1,<5,181616,173821,121374,392574,12.4,5.1,<5,<5,<5,5,<5,,
Kyrgyz Republic,5.9,3.7,2.7,<5,1197,22905,446,361700,,9.3,8.8,5.3,<5,9.4,9.1,,
Lao PDR,26.7,26.5,7.2,20.1,1489,10930,7,0,33.4,30.3,28.0,23.7,18.7,28.5,28.1,,
Latvia,4.3,0.7,0.9,<5,30589,6262,5014,204590,,<5,<5,<5,<5,<5,<5,,
Lebanon,2.9,3.2,0.9,<5,393633,63496,72440,603301,<5,<5,<5,<5,<5,6.4,7.1,,
Lesotho,15.7,13.5,10,13.1,84613,2899,5242,84692,13.2,14.6,14.6,14.9,12.9,23.5,22.7,,
Liberia,28.6,14.3,7.5,16.8,15500,270623,1213,15530,23.4,28.2,24.7,20.6,17.9,30.8,30.7,,
Libya,1.4,4.9,1.5,<5,660490,172723,14724,1863526,<5,<5,<5,<5,<5,,,,
Lithuania,1.2,0.6,0.5,<5,149261,13498,11879,49110,,<5,<5,<5,<5,<5,<5,,
Madagascar,27.2,32.8,5.8,21.9,19069,388701,0,33570,25.5,24.6,25.9,24.4,25.2,36.3,35.4,,
Malawi,20,13.8,7.1,13.6,60514,977,279,192000,30.6,27.6,21.6,18.7,15.1,27.3,26.9,,
Malaysia,3.6,11.8,0.9,5.4,3389079,889820,193004,767557,9.5,7.1,6.9,5.8,5.5,10.3,9.7,,
Mali,7.3,18.9,12.8,13,2061,108558,10689,227447,27.4,26.9,24.3,20.7,14.8,29.6,28.1,,
Mauritania,7.8,19.5,8.4,11.9,2069,182600,27570,379218,22.7,16.2,17.2,14.6,13.2,22.6,22.1,,
Mauritius,5.4,8.2,1.5,5,99741,58735,6676,163423,8.5,7.6,6.5,5.9,5.2,12.9,13.2,,
Mexico,0.7,2.8,1.6,<5,7153033,673877,96201,4166753,7.4,5.8,<5,<5,<5,7.3,7.2,,
Mongolia,21.2,4.7,2.8,9.6,53,23994,6113,120,19.7,23.6,18.5,14.1,10.8,14.7,13.8,,
Montenegro,2.3,0.7,0.6,<5,10973,1422,10593,31414,,,,,<5,<5,<5,,
Morocco,5,3.1,3.1,<5,1776625,14030,47148,2728484,7.8,6.9,6.2,6.5,<5,9.5,9.3,,
Mozambique,36.8,15.6,9,20.5,119383,526975,32954,766934,36.0,32.0,28.5,25.1,21.5,32.5,31.7,,
Myanmar,,22.6,5.2,,1547,20000,300,185000,,,,,,23.5,22,,
Namibia,29.3,17.5,3.9,16.9,166936,14959,22917,80138,22.1,21.9,17.5,17.1,18.4,31.8,31.4,,
Nepal,16,29.1,4.2,16.4,171096,325465,174006,67803,28.0,27.3,25.3,22.3,17.3,22.2,21.9,,
Nicaragua,21.7,4.8,2.4,9.6,108870,82979,3286,184967,24.1,19.9,15.4,11.5,9.5,13.6,13.3,,
Niger,13.9,37.9,11.4,21.1,60768,383170,3234,135,36.4,34.6,30.3,25.6,20.3,34.5,33.7,,
Nigeria,7.3,24.4,12.4,14.7,1200,2187370,254,4358863,25.3,22.6,17.9,16.3,15.0,32.8,25.5,,
Oman,,8.6,1.2,,153069,233745,54491,408820,,,,,,,10.4,,
Pakistan,17.2,31.6,8.6,19.1,24369,61169,11447,386932,25.9,22.8,21.6,21.2,19.3,33.9,33.4,,
Panama,8.7,3.3,1.9,<5,346790,71420,2150,106963,11.6,10.8,11.4,9.0,5.4,9.6,9.3,,
Papua New Guinea,,27.2,6.3,,655,44675,439,166723,,,,,,,,,
Paraguay,22.3,2,2.2,8.8,14469,1120,12966,68921,9.3,7.5,6.5,6.3,10.1,10.5,10.4,,
Peru,11.8,3.4,1.8,5.7,2020981,175756,0,1804847,16.3,12.3,10.5,9.9,5.5,9.1,8.6,,
Philippines,16.2,20.2,3,13.1,341605,399137,4362,2472612,19.9,17.4,17.7,14.0,13.2,20.1,19.9,,
Qatar,,0.3,0.7,,15108,127892,40283,51342,,,,,,,,,
Romania,0.4,2.6,1.2,<5,284166,46532,137127,679828,<5,<5,<5,<5,<5,5.3,5.5,,
Russian Federation,1.8,0.6,1,<5,55271,247166,448203,913326,,<5,<5,<5,<5,6.6,6.8,,
Rwanda,29.7,11.7,5.5,15.6,62940,63349,956,0,30.8,37.3,29.0,23.6,15.3,30.3,27.4,,
Saudi Arabia,1.6,4.9,0.9,<5,2106596,1265557,33432,2119496,6.5,6.4,<5,<5,<5,5.1,<5,,
Senegal,21.6,15.7,6,14.4,129176,1123550,57112,515579,18.1,19.8,19.2,13.7,13.8,23.2,16.5,,
Serbia,4.1,1.6,0.7,<5,8515,12233,28088,1212,,,,,<5,7.1,7.1,,
Sierra Leone,29.4,19.9,18.2,22.5,359,259440,1320,0,31.3,29.5,30.0,28.4,22.8,38.9,35,,
Slovak Republic,4.6,2.4,0.8,<5,62633,27154,41782,22053,,<5,<5,<5,<5,5.2,5.3,,
Somalia,,,14.7,,3016,175972,104100,150,,,,,,,,,
South Africa,2.1,7.9,4.5,<5,40311,1266063,477,1401984,7.2,6.5,7.4,7.7,5.4,12.4,11.8,,
Sri Lanka,22.8,21.6,1,15.1,16681,24055,124668,934596,22.3,20.7,17.8,16.9,15.6,25.5,25.5,,
Suriname,10.2,5.8,2.1,6,5714,761,7312,10728,11.3,9.9,11.1,8.9,6.7,10.4,10.1,,
Swaziland,35.8,5.8,8,16.5,90251,31739,8242,31788,10.4,12.9,12.7,12.5,14.4,26,24.2,,
Syrian Arab Republic,6,10.1,1.5,5.9,506213,259687,158647,1540247,7.7,6.1,<5,5.1,<5,?,,,
Tajikistan,30.2,13.3,5.8,16.4,5,22665,42600,651970,,21.2,22.6,19.0,16.3,30.3,30,,
Thailand,5.8,8,1.3,5,192257,21306,58834,1758920,21.3,17.1,10.2,6.6,5.8,11.9,11.8,,
Timor-Leste,38.3,45.3,5.7,29.8,707,97523,1133,,,,,26.0,29.6,40.7,34.3,,
Togo,15.5,16.5,9.6,13.9,615,140460,2917,85899,23.0,19.1,20.4,18.2,14.7,23,22.4,,
Trinidad & Tobago,7.6,2.4,2.1,<5,92241,27120,22307,134908,8.4,8.6,6.9,7.0,<5,8.3,8.5,,
Tunisia,0.9,2,1.6,<5,867519,12032,33362,1485639,<5,<5,<5,<5,<5,5.6,5.5,,
Turkey,0.6,2.6,1.4,<5,1548133,226056,9431,4053001,<5,5.0,<5,<5,<5,5.1,<5,,
Turkmenistan,2.5,5.8,5.3,<5,0,200,8600,615000,,10.3,8.6,6.6,<5,12.9,12.3,,
Uganda,30.1,14.1,6.9,17,5033,115615,9843,434920,21.4,22.9,19.9,18.6,19.2,27.6,26.4,,
Ukraine,0.8,1.1,1.1,<5,49559,67695,5175,1778,,<5,<5,<5,<5,<5,<5,,
Uruguay,6.2,4,0.7,<5,135163,987,6445,39171,5.5,<5,<5,<5,<5,5.7,5.6,,
Uzbekistan,5.7,4.2,4,<5,0,238,18446,738344,,8.3,9.3,6.6,5.3,13.3,13.1,,
"Venezuela, RB",2.1,2.9,1.5,<5,2394197,464050,1483,1470536,7.8,7.7,7.2,5.2,<5,7,7,,
Vietnam,8.3,12,2.3,7.5,2626473,6251,87188,1915393,30.9,25.1,18.1,13.7,7.7,14.7,14.5,,
"Yemen, Rep.",28.8,35.5,6,23.4,460455,436458,2256,3099401,29.8,27.7,26.9,27.9,26.5,34.2,35,,
Zambia,43.1,17.7,8.9,23.2,4029,18139,4766,14,24.9,24.5,26.3,25.3,24.1,41.1,39,,
Zimbabwe,30.5,10.1,9,16.5,304532,158890,3303,198211,20.0,22.0,21.7,20.5,16.5,30.8,28.8,,
,,,,35.6,,,,,42.3,42.7,40.2,39.5,38.8,46.9,46.1,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
